smiles	valid	nswcs	target_logp	predicted_logp	ground_truth_logp
O=c1[nH]c(=O)n(C2OCC(O)C(O)C2O)c(O)c1Br	True	O=c1[nH]c(=O)n(C2OCC(O)C(O)C2O)c(O)c1Br	-2	-3.927433	-2.3837999999999995
CCc1nc(Cl)c(O)cc1O	True	CCc1nc(Cl)c(O)cc1O	-2	1.4123714	1.7086000000000003
O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(O)nn1O	True	O=C1C=CN(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)C(O)=NN1O	-2	-3.5088363	-1.5817000000000005
OSc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=P(=O)OO)O)CC2O)C(O)c1O	True	O=P(OO)=[PH](O)OP(=O)(O)OP(=O)(O)OCC1CC(O)C(N2C=CC(SO)=C(O)C2O)O1	-2	-2.0136309	1.0199000000000003
O=c1[nH]c2ccc(O)c(O)c(O)n2c(=O)[nH]1	True	O=C1NC(=O)N2C(=CC=C(O)C(O)=C2O)N1	-2	-0.640926	0.3032000000000001
O=c1[nH]c(=O)n(CC=CCP(=O)(O)O)C1	True	O=C1CN(CC=CCP(=O)(O)O)C(=O)N1	-2	-1.7609295	-0.7279000000000002
O=C(Cc1nnc(n2COCC2)Cc1=O)[N+](=O)[O-]	True	O=C1CC(N2CCOC2)=NN=C1CC(=O)[N+](=O)[O-]	-2	-0.5175525	-0.8031999999999999
CC(=O)NCC(COC(=O)(O))(O)CCO	True	CC(=O)NCC(O)(CCO)COC(=O)O	-2	-2.5539675	-1.0694
NCCCCCCCCC(O)(COP(=O)(S)PP(=O)(O)OPCOP(=O)(O)O)C(=O)NO	True	NCCCCCCCCC(O)(COP(=O)(S)PP(=O)(O)OPCOP(=O)(O)O)C(=O)NO	-2	-3.220087	2.4226000000000028
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1IO	True	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1[IH]O	-2	-1.8839172	-2.0428
O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)P(=O)(O)OC2O)OC1=O	True	O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)P(=O)(O)OC2O)oc1=O	-2	-2.3363671	-0.7141000000000006
O=c1[nH]c(=O)n(COCCCOP(=O)(O)O)cc1O	True	O=c1[nH]c(=O)n(COCCCOP(=O)(O)O)cc1O	-2	-1.5366246	-1.2843000000000002
CNc1ncnc2c1ncn2C1CC(OP(=P)(O)OO)(COP(=O)(O)O)O1	True	CNc1ncnc2c1ncn2C1CC(COP(=O)(O)O)(OP(O)(=P)OO)O1	-2	-0.52002347	0.9113999999999995
O=c1[nH]cnc2c(CNN2CCO)C(O)C1O	True	O=C1NC=NC2=C(CNN2CCO)C(O)C1O	-2	-3.061174	-3.109599999999999
O=c1[nH]c(=O)n(C)c(Br)c1O	True	Cn1c(Br)c(O)c(=O)[nH]c1=O	-2	0.3484387	-0.4583000000000001
O=c1[nH]c(=O)n(CCCCO)C(O)P(=O)(O)[nH]1	True	O=C1NC(=O)N(CCCCO)C(O)P(=O)(O)N1	-2	-4.115869	-1.0450000000000002
O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	True	O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	-2	-3.4938607	-1.7351000000000008
O=C(CNC1CCCCCN)NC(=O)C1O	True	NCCCCCC1NCC(=O)NC(=O)C1O	-2	-0.14269859	-1.5189999999999972
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C2OP(=O)(O)O)O1	True	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C2OP(=O)(O)O)o1	-2	-3.097734	-0.9571000000000003
O=c1[nH]c2nc(N)c1n1CC(COP(=O)(O)O)2C1	True	Nc1nc2[nH]c(=O)c1N1CC2(COP(=O)(O)O)C1	-2	-0.10665274	-1.4672
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1O	True	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1O	-2	-2.6140866	-2.1170999999999998
O=c1[nH]cnc2c(CCOC(O)C2(O)CCCOCC1O)CCO	True	O=C1NC=NC2=C(CCO)CCOC(O)C2(O)CCCOCC1O	-2	-2.3142762	-1.5914999999999981
N#CCOC(=O)C1OCCC1CO	True	N#CCOC(=O)C1OCCC1CO	-2	-0.06716591	-0.54942
CCC(=O)CCCOSC(O)(OO)C(O)C=O	True	CCC(=O)CCCOSC(O)(OO)C(O)C=O	-2	-2.3091688	0.10599999999999993
NC(CCC(O)C(O)C(C)CCCOP(=O)C(=O)NOPO)P(=O)(O)O	True	CC(CCCO[PH](=O)C(=O)NOPO)C(O)C(O)CCC(N)P(=O)(O)O	-2	-2.4818501	0.0004999999999991678
NS(=O)(=O)NC(=O)CCCC(=S)O	True	NS(=O)(=O)NC(=O)CCCC(O)=S	-2	-1.4988412	-0.6381999999999999
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O	True	O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O	-2	-4.018907	-2.1519000000000004
O=c1[nH]cnc2ccccc2[nH]1	True	O=C1NC=Nc2ccccc2N1	-2	0.4938065	1.4814999999999998
COC(=O)CCC(=O)CNC(=O)NO	True	COC(=O)CCC(=O)CNC(=O)NO	-2	-1.6045262	-0.8028999999999995
CCC(N)N=C(N)CCO	True	CCC(N)N=C(N)CCO	-2	-0.5533006	-0.5791999999999995
O=c1[nH]cnc2c1ncn2CCOCCP(=O)(O)O	True	O=c1[nH]cnc2c1ncn2CCOCCP(=O)(O)O	-2	-1.8395692	-0.6861
NC(=S)NN=CCC(N)(O)C2C1CCC2CC1	True	NC(=S)NN=CCC(N)(O)C1C2CCC1CC2	-2	1.7572428	0.27899999999999947
Nc1ncnc2c1ncn2C1OC(COP(=O)(OOO)(C)O)C1O	True	C[PH](=O)(O)(OCC1OC(n2cnc3c(N)ncnc32)C1O)OOO	-2	-2.300982	-0.8972000000000007
COC(=O)CC(OC(=O)CCPOCCN(CCN)N[N+](=O)[O-])	True	COC(=O)CCOC(=O)CCPOCCN(CCN)N[N+](=O)[O-]	-2	-1.591389	-0.9500999999999973
O=c1[nH]cnc2c1ncn2C1ON(CO)(=O)C1O	True	O=c1[nH]cnc2c1ncn2C1O[N+]([O-])(CO)C1O	-2	-3.762803	-1.8538000000000001
O=C(COP(=O)(O)COC1(O)OCCP(=O)(O)O)C1	True	O=C1COP(=O)(O)COC(O)(OCCP(=O)(O)O)C1	-2	-1.5025343	-1.0243000000000002
O=c1[nH]c(=S)n(C2CC(O)C(C)CO2)C(O)C(O)C1O	True	CC1COC(N2C(=S)NC(=O)C(O)C(O)C2O)CC1O	-2	-4.735987	-2.5132999999999988
O=c1[nH]c(=O)n(CC=CCP(=O)(O)O)[nH]1	True	O=c1[nH]c(=O)n(CC=CCP(=O)(O)O)[nH]1	-2	-1.8864702	-1.4014000000000002
NCCCCCOCCCOC(=O)OP(C(CCOP(=O)(O)(O)O)P(=O)(O)O)O	True	NCCCCCOCCCOC(=O)OP(O)C(CCO[PH](=O)(O)(O)O)P(=O)(O)O	-2	-0.8219987	0.15800000000000003
CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC(C)=O	True	CC(=O)NC(=O)C(Cc1ccc(OP(=O)(O)O)cc1)NC(C)=O	-2	-0.3784449	-0.13200000000000034
O=c1[nH]c(=O)n(C2OC(OO)C(O)C2O)n1O	True	O=c1[nH]c(=O)n(C2OC(OO)C(O)C2O)n1O	-2	-6.3790665	-3.3582999999999994
CCCCCCC(NCCCCCC=C(N)NP(=P)(O)(O)O)P(=O)(O)C(=O)NO	True	CCCCCCC(NCCCCCC=C(N)N[PH](O)(O)(O)=P)P(=O)(O)C(=O)NO	-2	1.0997521	2.1721000000000004
O=c1[nH]c(NNCCOC(O)O)c2cc(O)cnc2c1	True	O=c1cc2ncc(O)cc2c(NNCCOC(O)O)[nH]1	-2	-0.0012740493	-1.1699999999999997
COC(=O)CC(CP(=O)(O)OCP(=O)(O)OP(=O)(O)O)CC(=C)O	True	C=C(O)CC(CC(=O)OC)CP(=O)(O)OCP(=O)(O)OP(=O)(O)O	-2	-2.3565545	1.0816999999999997
O=c1[nH]cnc2c(CNCCCP(=O)(C)O)(C=O)[nH]c12	True	CP(=O)(O)CCCNCC1(C=O)Nc2c1nc[nH]c2=O	-2	-0.34018582	-0.5305000000000002
O=c1[nH]c(=O)n(C2OC(CO)C(O)C(O)C2O)cc1I	True	O=c1[nH]c(=O)n(C2OC(CO)C(O)C(O)C2O)cc1I	-2	-4.001312	-2.886399999999999
CCCCCCCCCCCCCCCP(=O)(PPOP(=O)(O)O)P(=O)(O)(C)(NOCO)O	True	CCCCCCCCCCCCCCCP(=O)(PPOP(=O)(O)O)P(C)(=O)(O)(O)NOCO	-2	4.457834	5.831900000000011
CCC1=CC(OO)C(=O)C(CCOP(=O)(O)CP(=O)(O)O)C(ONC1=S)O	True	CCC1=CC(OO)C(=O)C(CCOP(=O)(O)CP(=O)(O)O)C(O)ONC1=S	-2	-1.6664385	0.27419999999999983
O=c1[nH]c(=O)n(N2CC(O)C(COP(=O)(O)O)O2)cc1I	True	O=c1[nH]c(=O)n(N2CC(O)C(COP(=O)(O)O)O2)cc1I	-2	-2.2210016	-2.136799999999999
CCC(=O)C(NCC=N)P(=O)(O)O	True	CCC(=O)C(NCC=N)P(=O)(O)O	-2	-0.63340044	-0.29152999999999984
O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	True	O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	-2	-3.4938607	-1.7351000000000008
CCCCCCNC(=N)NN	True	CCCCCCNC(=N)NN	-2	0.40050817	0.55437
NNC(=O)CCC(=O)O	True	NNC(=O)CCC(=O)O	-2	-1.5428727	-1.1589000000000005
O=C(OC(O)=CCCCC(C(OOPP(OP(=O)OO)O)P(=O)(O)O)CO)OC(=O)O	True	O=C(O)OC(=O)OC(O)=CCCCC(CO)C(OOPP(O)O[PH](=O)OO)P(=O)(O)O	-2	-2.5853481	2.156400000000002
Nc1ncnc2c1ncn2C1OCP(OPP(P)(OO)OP(=O)(P)OP(=O)(O)O)C(O)C1	True	Nc1ncnc2c1ncn2C1CC(O)P(OP[PH](P)(OO)OP(=O)(P)OP(=O)(O)O)CO1	-2	-4.0206366	2.4940000000000007
NC(=O)CCCCCC(C(=O)CC(=O)N(CC(=O)N)CC(=O)O)C(=O)O	True	NC(=O)CCCCCC(C(=O)O)C(=O)CC(=O)N(CC(N)=O)CC(=O)O	-2	-2.402574	-1.519299999999995
COC(=C)CC1CC(CCCCnc1C=NOP(=O)(C(O)CCN)=N)C(N)=O	True	C=C(CC1CC(C(N)=O)CCCCN=C1C=NO[PH](=N)(=O)C(O)CCN)OC	-2	-0.91186726	1.7116699999999998
O=c1[nH]cnc2c1ncn2CC1PCCP(=O)(O)OCCP(=O)(O)OP(=O)C1OO	True	O=c1[nH]cnc2c1ncn2CC1PCCP(=O)(O)OCCP(=O)(O)O[PH](=O)C1OO	-2	-1.3426462	0.8746999999999994
NC(CS)SCS(=O)(=O)O	True	NC(CS)SCS(=O)(=O)O	-2	-0.8893033	-0.2205000000000002
COC(=O)CC(P(=O)(O)O)C(=O)O	True	COC(=O)CC(C(=O)O)P(=O)(O)O	-2	-1.2495688	-0.8196000000000003
O=c1[nH]c(=O)n(C2CC(CONC(O)C=O)C2O)cc1	True	O=CC(O)NOCC1CC(n2ccc(=O)[nH]c2=O)C1O	-2	-3.3261642	-2.5029999999999983
O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	True	O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	-2	-3.4938607	-1.7351000000000008
O=c1[nH]c(=S)n(C1CCCC(COP(=O)(O)O)CCC)O	True	CCCC(CCCC1C(=O)NC(=S)N1O)COP(=O)(O)O	-2	-0.571319	1.1567999999999998
NCOC(=N)N1CCCNOP(=O)(OO)CC1	True	N=C(OCN)N1CCCNOP(=O)(OO)CC1	-2	-1.1728505	-0.23642999999999992
O=c1[nH]c(=O)n(CC=CCP(=O)(O)O)cc1Cl	True	O=c1[nH]c(=O)n(CC=CCP(=O)(O)O)cc1Cl	-2	-0.3377899	-0.07610000000000011
O=c1ccn(C(OC(COP(CP)(PP=P)(OOOOP(=O)(O)O)O)OC(O)O)O)cn1	True	O=c1ccn(C(O)OC(COP(O)(CP)(OOOOP(=O)(O)O)PP=P)OC(O)O)cn1	-2	-2.9050317	-0.12439999999999901
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CO	True	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1CO	-2	-2.248765	-2.3303999999999987
CCCCCCCCCC(C)=CCCC(O)CPCPP(=O)(O)OPP(=O)(O)PC(O)(O)O	True	CCCCCCCCCC(C)=CCCC(O)CPCPP(=O)(O)OPP(=O)(O)PC(O)(O)O	-2	3.9121141	5.606600000000012
O=c1[nH]nc(Cc2ccc(OCNCC(O)CO)cc2)cc1O	True	O=c1[nH]nc(Cc2ccc(OCNCC(O)CO)cc2)cc1O	-2	0.68494016	-0.6546000000000003
NC(CCO)CC(O)=O	True	NC(CCO)CC(=O)O	-2	-0.6138278	-0.8292000000000004
N#Cc1nn(C2OC(CO)C(OC(P)OP(=O)(O)O)P(=O)NO)OC2(CO)OC1O	True	N#CC1=NN2OC(CO)(OC1O)C2OC(CO)C(OC(P)OP(=O)(O)O)[PH](=O)NO	-2	-2.138959	-3.08182
O=C(OCCOC(F)O)C(=O)NC(C)=O	True	CC(=O)NC(=O)C(=O)OCCOC(O)F	-2	-1.1565282	-1.5456999999999999
O=c1[nH]cnc2c(CCOC(O)CC2=O)nc1O	True	O=C1CC(O)OCCC2=C1N=CNC(=O)C(O)=N2	-2	-0.55419266	-0.9895000000000005
O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	True	O=c1ccn(C2OC(COP(=O)(P)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1	-2	-3.4938607	-1.7351000000000008
OSc1ncn(C)OCc1OC(=O)NP(CP(=O)(O)O)C[N+](=O)[O-]	True	CN1C=NC(SO)=C(OC(=O)NP(C[N+](=O)[O-])CP(=O)(O)O)CO1	-2	-0.3263921	0.7594999999999996
NS(=O)(=O)c1ccc(CCOP(=O)(O)O)C(=O)O1	True	NS(=O)(=O)c1ccc(CCOP(=O)(O)O)c(=O)o1	-2	-2.802925	-1.061
O=c1[nH]c(=O)n(C2CC(O)C2)nc(O)cc1C	True	CC1=CC(O)=NN(C2CC(O)C2)C(=O)NC1=O	-2	-2.0428696	-0.12070000000000025
Cc1nn(NCCCCC([N+](=O)[O-])=O)[nH]c(=O)c(O)c(O)C1	True	CC1=NN(NCCCCC(=O)[N+](=O)[O-])NC(=O)C(O)=C(O)C1	-2	-0.6381525	-0.09499999999999914
O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)c1O	True	O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(O)c1O	-2	-3.5650249	-1.895000000000001
O=c1[nH]c(=O)n(C2CC(O)C(COP(=O)(O)O)O2)cc1F	True	O=c1[nH]c(=O)n(C2CC(O)C(COP(=O)(O)O)O2)cc1F	-2	-2.1198416	-1.5666000000000002
CNC(=O)C(CC(=O)C)P(=O)(O)(P(=O)(O)O)P(=O)(O)O	True	CNC(=O)C(CC(C)=O)[PH](=O)(O)(P(=O)(O)O)P(=O)(O)O	-2	-2.4282355	-1.1961000000000004
O=c1[nH]nc(C2CCC=O)N2CCOC(CO)CC1	True	O=CCCC1C2=NNC(=O)CCC(CO)OCCN21	-2	0.4974135	-0.7492999999999996
COc1nc(=O)c2n1C1OC(COP(=O)(O)OP(=O)(O)O)S(O)(=O)c21	True	COC1=NC(=O)C2=C3C(OC(COP(=O)(O)OP(=O)(O)O)[SH]3(=O)O)N12	-2	-1.8110396	-1.5454
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1O	True	O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1O	-2	-2.6140866	-2.1170999999999998
O=c1[nH]c(=O)n(CCC2CC(CP(=O)(C)O)cc2)n1O	True	CP(=O)(O)CC1C=CC(CCn2c(=O)[nH]c(=O)n2O)C1	-2	-0.7969711	0.05799999999999972
O=c1[nH]c(=O)n(COCCCO)C1CP(=O)(=O)NO	True	O=C1NC(=O)N(COCCCO)C1C[PH](=O)(=O)NO	-2	-3.849154	-1.4019999999999988
CC(=NNCC(O)SSCC(=O)O)C(=O)O	True	CC(=NNCC(O)SSCC(=O)O)C(=O)O	-2	0.35859135	-0.17910000000000015
O=c1[nH]c(=O)n(CC=CCP(CO)(O)O)C(O)C(O)C1O	True	O=C1NC(=O)N(CC=CC[PH](O)(O)CO)C(O)C(O)C1O	-2	-4.6370564	-3.3510999999999993
CCCCCCCCCOCCCCOP(=O)(P(OPP(=O)O)O)C(OOC1O)C(O)C(O)c1	True	CCCCCCCCCOCCCCOP(=O)(C1OOC(O)CC(O)C1O)P(O)OP[PH](=O)O	-2	1.1110439	3.7580000000000062
O=c1[nH]c(CSc2ncc(C(O)C(O)CCO)[nH]2)n1	True	O=C1N=C(CSc2ncc(C(O)C(O)CCO)[nH]2)N1	-2	-0.8988422	-0.5998000000000003
NS(=O)(=O)OCCCCCCF	True	NS(=O)(=O)OCCCCCCF	-2	0.036233068	0.7363999999999997
O=C(O)CCOC(=O)O	True	O=C(O)CCOC(=O)O	-2	-0.9721383	0.1556999999999999
O=c1[nH]c(=O)n(C2CC(O)C(CO)C2)c2[nH]c12	True	O=c1[nH]c(=O)n(C2CC(O)C(CO)C2)c2c1N2	-2	-1.6295127	-1.1021000000000007
N=C(N)Nc1ccc([N+](=O)[O-])cc([N+](=O)[O-])c1=O	True	N=C(N)Nc1ccc([N+](=O)[O-])cc([N+](=O)[O-])c1=O	-2	0.9154247	0.16856999999999978
Nc1ncnc2c1ncn2C1OC(CCPCOPN(O)CC(O)OCOP(=O)(O)OP(=O)OO)1	True	Nc1ncnc2c1ncn2C1OC1CCPCOPN(O)CC(O)OCOP(=O)(O)O[PH](=O)OO	-2	-3.6481528	0.8536999999999997
Cc1n[nH]c2n1COc1ccc(C(=O)O)cc2n1	True	CC1=NNC2=C3C=C(C(=O)O)C=CC(=N3)OCN12	-2	1.7673624	0.36110000000000014
CNSCCC(C)C(C)C(OP(=O)PO)PP(=O)(O)OP(=O)(O)O	True	CNSCCC(C)C(C)C(O[PH](=O)PO)PP(=O)(O)OP(=O)(O)O	-2	-0.40402377	2.7227000000000037
O=c1[nH]cnc2c1CCN2CCCCCCOP(=O)(O)O	True	O=c1[nH]cnc2c1CCN2CCCCCCOP(=O)(O)O	-2	-0.8363035	0.8020999999999996
O=P(O)(CCCCCnCC1CC(O)P(OP(=O)O)OO)P(OP(=O)(O)O)c1O	True	O=[PH](O)OP(OO)C(O)CC1CNCCCCCP(=O)(O)P(OP(=O)(O)O)C1O	-2	-1.3305423	1.2946999999999995
CN1CCCCC(=O)C(O)c1=O	True	CN1CCCCC(=O)C(O)C1=O	-2	-0.21056527	-0.4413000000000002
O=c1[nH]c(C(=O)NC2CCOCC2)n1	True	O=C1N=C(C(=O)NC2CCOCC2)N1	-2	-0.09126687	-0.5967
ONc1nc(O)nc2c1ncn2C1CP(OP(=O)(O)OO)C(OOP(=O)(O)O)C1	True	O=P(O)(O)OOC1CC(n2cnc3c(NO)nc(O)nc32)CP1OP(=O)(O)OO	-2	-2.0509977	0.6482999999999994
O=c1[nH]nc(N2COC(C2)CO)C(O)C1O	True	O=C1NN=C(N2COC(CO)C2)C(O)C1O	-2	-2.8869114	-3.1978999999999984
O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1	True	O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1	-2	-3.928186	-2.7349
O=c1[nH]cc(O)n(CN=CCP(=O)(O)O)cc1	True	O=C1C=CN(CN=CCP(=O)(O)O)C(O)=CN1	-2	-0.42521703	-0.5052000000000002
CNc1nc(C)ncnn1n1n2CC(PC(P(=O)(O)O)C2OP(=O)(O)O)C1O	True	CNC1=NC(C)=NC=NN1N1C(O)C2CN1C(OP(=O)(O)O)C(P(=O)(O)O)P2	-2	-1.4635926	-1.995
Nc1ncnc2cCncn2CCCCP(OPP(P)(O)OOC(O)P(=O)(O)O)O1	True	NC1=NC=NC2=CCN=CN2CCCCP(OP[PH](O)(P)OOC(O)P(=O)(O)O)O1	-2	-1.657797	0.9262000000000004
O=c1[nH]cnc2c1ncn2CCC(OCP(=O)(O)O)CCOP(=O)(O)O	True	O=c1[nH]cnc2c1ncn2CCC(CCOP(=O)(O)O)OCP(=O)(O)O	-2	-1.9666458	-0.47050000000000014
